Segment Id	Segment Name	Last Updated On
3045	zeotap > Spain > Demographic > Province: Pontevedra	2018-02-27 14:41:12
3159	zeotap > Italy > Interest > Science > Weather	2018-02-23 06:06:43
1518	zeotap > Spain > Demographics > Region: Southern Spain	2018-02-27 14:41:12
3049	zeotap > Spain > Demographic > Province: Santander	2018-02-27 14:41:12
4041	zeotap > Italy > Demographics > Province: Ferrara	2018-02-23 05:25:22
3479	zeotap > Italy > Demographics > Region: Nielsen Area 3	2018-02-23 04:55:39
3009	zeotap > Spain > Demographic > Geo: Coast Area	2018-02-27 16:01:09
3043	zeotap > Spain > Demographic > Province: Palencia	2018-02-27 14:41:12
3932	zeotap > Italy > Demographics > Province: Padova	2018-02-23 05:48:43
5040	zeotap > Italy > Demographics > Region: Molise	2018-03-05 07:53:19
4483	zeotap > Germany > Interest > International Travellers (App Usage)	2018-02-14 12:33:49
3633	zeotap > Spain > Demographics > Household Size: 4+	2018-02-27 14:41:12
4700	zeotap > Spain > Interest > Beauty & Cosmetics	2018-02-27 12:07:07
3054	zeotap > Spain > Demographic > Province: Teruel	2018-02-27 14:41:12
3017	zeotap > Spain > Demographic > Province: Bilbao	2018-02-27 14:41:12
3074	zeotap > Spain > Interest > News	2018-02-27 16:01:09
3026	zeotap > Spain > Demographic > Province: Granada	2018-02-27 16:01:09
4701	zeotap > Spain > Interest > Beauty & Cosmetics	2018-02-27 12:07:07
3606	Bounty	2018-02-19 12:24:08
4702	zeotap > Spain > Interest > Beauty & Cosmetics	2018-02-27 12:07:07
3038	zeotap > Spain > Demographic > Province: Málaga	2018-02-27 16:01:09
3012	zeotap > Spain > Demographic > Province: Alicante	2018-02-27 14:41:12
4033	zeotap > Italy > Demographics > Age > Generation: Millennials (18 - 34)	2018-02-23 05:25:22
1279	zeotap > Italy > Demographics > Age: 18-24	2018-02-23 05:25:22
4080	zeotap > India > Interest (ICICI)	
4506	zeotap > France > Interest > Sports Enthusiasts (App Usage)	2018-02-27 03:11:54
5016	zeotap > Italy > Demographics > Nationality: Europeans (Non-Italians)	2018-03-05 07:53:19
4482	zeotap > Germany > Interest > International Travellers (App Usage)	2018-02-14 12:33:49
1257	zeotap > Spain > Demographics > Age: 25-34	2018-02-27 14:41:12
3474	zeotap > Italy > Demographics > Age: 65+	2018-02-23 04:55:39
4056	zeotap > Italy > Demographics > Province: Venezia	2018-02-23 05:25:22
3024	zeotap > Spain > Demographic > Province: Cuenca	2018-02-27 14:41:12
3961	zeotap > Italy > Demographics > Region: Valle d Aosta	2018-02-23 05:48:43
4047	zeotap > Italy > Demographics > Province: Padova	2018-02-23 05:25:22
3630	zeotap > Spain > Demographics > Household Size: 3	2018-02-27 14:41:12
4330	zeotap > USA > Interest > Game Strategy (App Usage)	2018-03-04 20:43:43
4505	zeotap > France > Interest > Sports Enthusiasts (App Usage)	2018-02-27 03:11:54
3598	Venus	2018-03-04 17:03:51
3634	zeotap > India > Interest: Shopping	
4703	zeotap > Spain > Interest > Health & Fitness Lovers	2018-02-27 12:14:08
3889	zeotap > India > Demographics > Gender: Female / Women	
4229	zeotap > India > Premium Affluents (Times Now)	
4834	zeotap > UK > Interest > Sports > NASCAR Racing	2018-02-23 05:19:22
4102	zeotap > DE > Demographics: Men, Age: 18-24	2018-02-24 00:44:54
4126	zeotap > DE > Demographics: Men, Age: 18-49	2018-02-24 00:44:54
4096	zeotap > DE > Demographics > Age: 25-44	2018-02-24 00:44:54
4752	zeotap > Spain > Interest > Easter - Travel Top Destination	2018-02-27 14:41:12
4705	zeotap > Spain > Interest > Health & Fitness Lovers	2018-02-27 12:14:08
4704	zeotap > Spain > Interest > Health & Fitness Lovers	2018-02-27 12:14:08
3845	zeotap > Italy > Demographics > Region: Valle d Aosta	2018-02-23 06:06:43
4842	zeotap > India > Male 18-24 (TVS) V2	
3556	zeotap > Italy > Demographics > Language: Arabic	2018-02-23 06:06:43
3757	zeotap > Italy > Demographics > Province: La Spezia	2018-02-23 06:06:43
4819	zeotap > UK > Demographics > Gender: Female / Women	2018-02-23 05:19:22
4038	zeotap > Italy > Demographics > Province: Bologna	2018-02-23 05:25:22
5308	zeotap > Italy > Custom Audience > P&G > F18-44	2018-02-27 16:06:19
4062	zeotap > Italy > Demographics > Region: Emilia-Romagna	2018-02-23 05:25:22
4050	zeotap > Italy > Demographics > Province: Reggio Calabria	2018-02-23 05:25:22
5311	zeotap > Italy > Custom Audience > P&G > F13-24	2018-02-27 15:53:00
5020	zeotap > Italy > Demographics > Province: Bari	2018-03-05 07:53:19
3754	zeotap > Italy > Demographics > Province: Bari	2018-02-23 04:55:39
3802	zeotap > Italy > Demographics > Region: Calabria	2018-02-23 04:55:39
4066	zeotap > Italy > Demographics > Region: Lombardia	2018-02-23 05:25:22
4953	zeotap > Spain > Demographics > Region: Eastern Spain	2018-02-23 03:54:42
3001	zeotap > Germany > Demographics > Age: 35-44	2018-03-04 04:49:08
5565	zeotap > India > Interest > Premium Travel Intenders	
3879	zeotap > Italy > Demographics > Mums	2018-02-23 06:06:43
2973	zeotap > Italy > Mobile Contract > Payment Type: Post-paid	2018-02-23 05:48:43
3958	zeotap > Italy > Demographics > Region: Toscana	2018-02-23 05:48:43
3599	Charmin	2018-03-04 17:13:41
4826	zeotap > UK > Interest > Hobbies & Interests > Photography	2018-02-23 05:19:22
4707	zeotap > Spain > Interest > Fashion Enthusiasts	2018-02-27 12:14:45
4831	zeotap > UK > Interest > Society	2018-02-23 05:19:22
4079	zeotap > India > High Income (ICICI)	
3562	zeotap > Italy > Demographics > Nationality: Non Italians	2018-02-23 06:06:43
3809	zeotap > Italy > Demographics > Region: Sardegna	2018-02-23 06:06:43
4708	zeotap > Spain > Interest > Fashion Enthusiasts	2018-02-27 12:14:45
3749	zeotap > Italy > Demographics > Province: Bologna	2018-02-23 06:06:43
3092	zeotap > US > Interest > Finance > Insurance Owners 	2018-02-28 04:47:03
4072	zeotap > Italy > Demographics > Region: Sicilia	2018-02-23 05:25:22
4260	zeotap > India > Extended Reach (DHFL)	
448	zeotap > Spain > Demographics > Gender: Male / Men	2018-03-01 05:14:49
3712	zeotap > USA > (March Madness) Streamers	2018-03-05 12:25:51
3536	zeotap > Canada > Entertainment (Contextual)	2018-03-04 03:46:11
5295	zeotap > Germany > Custom Audience > P&G > F21-39	2018-03-04 04:49:08
3942	zeotap > Italy > Demographics > Province: Verona	2018-02-23 05:48:43
4653	zeotap > UK > Interest > Business Professionals (App Usage)	2018-02-19 07:26:45
4654	zeotap > UK > Interest > Business Professionals (App Usage)	2018-02-19 07:26:45
3841	zeotap > Italy > Demographics > Region: Molise	2018-02-23 06:06:43
3828	zeotap > Italy > Demographics > Region: Friuli-Venezia Giulia	2018-02-23 04:17:16
3140	zeotap > UK > Demographics > Age: 55-64	2018-03-04 03:53:21
4645	zeotap > India > Custom > Male 18-44 (TVS)	
3886	zeotap > Italy > Demographics > Province: Milano	2018-02-23 06:06:43
3955	zeotap > Italy > Demographics > Region: Puglia	2018-02-23 05:48:43
3550	zeotap > Italy > Demographics > Language: English	2018-02-23 06:06:43
4443	zeotap > France > Interest > Mobile Banking (App Usage)	2018-02-27 03:20:06
3991	zeotap > Spain > Demographic > Province: Lugo	2018-02-23 03:33:30
4444	zeotap > France > Interest > Mobile Banking (App Usage)	2018-02-27 03:20:06
3144	zeotap > UK > Demographics > Age: 25-34	2018-03-04 03:53:21
